iterations,test-F1-mean,test-F1-std,train-F1-mean,train-F1-std,test-Logloss-mean,test-Logloss-std,train-Logloss-mean,train-Logloss-std
0,0.8643528904519139,0.03768314631039328,0.8830931868051008,0.007603191960122864,0.5423839066621342,0.01585031431616871,0.531665666927632,0.02047602017382579
1,0.8618345941483646,0.034417661450204466,0.892016435571437,0.008105170874096788,0.46966379873598785,0.02416222782382802,0.4436643544457282,0.014729282325064673
2,0.8711559086997658,0.029339532265505633,0.9008909305749231,0.007209997051683706,0.4209259956570359,0.028827989803745124,0.3854636283804859,0.010577193260073003
3,0.873181238134061,0.03929020709547942,0.9074998669546199,0.00982516228704617,0.39666868007665,0.03355468263023999,0.3532974711180114,0.011293842466427539
4,0.8738011655784632,0.03967354891932374,0.9097770590826746,0.007523531307719438,0.38085897402596625,0.034932452029166144,0.32792988408575174,0.014007872782466704
5,0.8790475727804621,0.0329744325071247,0.9116608731160187,0.006110759670340644,0.3710095597059404,0.038774181718039064,0.3092960622164828,0.013481205261372751
6,0.8742295045065731,0.03217192751603145,0.9145641204056769,0.007914984601069193,0.3637344176750516,0.03804436995176644,0.294770459314808,0.013796065642417216
7,0.8800821818892052,0.032693986298488534,0.9167001266444578,0.00602969204618655,0.3566125852625089,0.037870469131577024,0.28181529601493616,0.013171508203439604
8,0.8816859923752144,0.035696642825002886,0.9183417399613824,0.006051522206140102,0.3529289030464352,0.04054463541741571,0.2708759689433668,0.011766978333482352
9,0.8810731251551639,0.03477226487201056,0.9225212598911309,0.0059152744828950485,0.3491826342585701,0.042762295919049426,0.26077047508384354,0.01289901534423399
10,0.8753120155709075,0.03478323937601888,0.9242115844188611,0.006697373615345017,0.3477136930536095,0.043312378906097584,0.2517204650712604,0.012183516341495471
11,0.883158605939389,0.02957258843020376,0.9243595678545209,0.006751105659313854,0.344728781469099,0.0430369505575649,0.2430127624150756,0.01177808328784929
12,0.8818268686956363,0.033917771622783255,0.9280489633038631,0.00561589620984229,0.34310069463760656,0.04299401723370773,0.2355217386535124,0.010573603559639395
13,0.8751410726600867,0.038312960734414876,0.931314830191412,0.005580894012627627,0.3434378318233714,0.04516089605293051,0.22917166842837858,0.0104285784942762
14,0.8741939391348339,0.03391449989482615,0.9335808804848277,0.0044944466101113,0.3447142832493953,0.045362964423097125,0.2220535123671536,0.009848708405588309
15,0.8738310647362502,0.034618190425982756,0.9353884374318469,0.006386226810137753,0.34400455333447816,0.0470564444354297,0.21657893233637243,0.009260487574420061
16,0.8731354615595711,0.031475882009918715,0.9375659859018715,0.006915625206215301,0.34397427205799846,0.04845802551452249,0.21115628687341442,0.009366249350928604
17,0.8707112191353286,0.034198151411415884,0.9387167053861833,0.006956243910853432,0.3435905958073231,0.048880325108113354,0.20661200834908552,0.008641668556930895
18,0.8715852502532622,0.0330410898726477,0.9411431189275822,0.006069679825514524,0.3429502283441645,0.04818337283293017,0.20172107605919315,0.009212776008410424
19,0.8733261206751951,0.031939926040293096,0.942737911968651,0.006506434625818489,0.3433582131868135,0.050249287991854824,0.19712777312407512,0.009780485831723007
20,0.8726335581940148,0.032497686830858304,0.9457491512969136,0.006359319655593228,0.34278575999056554,0.05026705587640697,0.19336343750887025,0.010393668043091999
21,0.8741741089340571,0.034222786598421887,0.9469705782645779,0.004300707324419036,0.3429091102796061,0.0507451309067599,0.19165006843333107,0.011184991942792816
22,0.8755357728574449,0.034813751635513486,0.9481757831067421,0.006382154193036165,0.3426195733705494,0.05092357990787906,0.1897550567584945,0.011672833551297541
23,0.8765506937087665,0.032886610071425876,0.9491145083144668,0.006161325041318294,0.3420380292356741,0.050149651351965474,0.18776258827014955,0.012045359448740623
24,0.8754464839089046,0.03222304512764,0.9487931362872924,0.004857428418148003,0.3419970436361813,0.04965236005081896,0.18628004724816766,0.01137901428803276
25,0.8754464839089046,0.03222304512764,0.9494111962314978,0.005535479030352287,0.34193917494263204,0.0495571701392735,0.18559703582932485,0.012243068493643932
26,0.8736380451227825,0.03494705239803411,0.9512597507717071,0.006454532251351923,0.3420316548036778,0.050343832036283336,0.18207408609341208,0.012806513957686927
27,0.8729263199675563,0.03749619253583768,0.9516117842626048,0.007070977663975254,0.3426077923957344,0.050893818606134,0.18063920956388055,0.013717758097620991
28,0.8768443849954055,0.038034334417130417,0.9538143103937939,0.0064550188835238356,0.34241990904096803,0.05086430766580876,0.17735112603905176,0.013438151591336163
29,0.8779271013396457,0.037340060225011934,0.9541367437670747,0.006488291529146369,0.34215448824293754,0.050480412743415436,0.17656695485486884,0.014557028459544596
30,0.8779271013396457,0.037340060225011934,0.954139758611188,0.00732813217082333,0.34191984196585806,0.050126334941288,0.17583797065163007,0.015594747283047355
31,0.8727802980977284,0.03338186003393621,0.9550831884812551,0.007523876020951861,0.3430630095298767,0.0499217331991904,0.17346728781607088,0.015111979177148835
32,0.8738768070068632,0.032975869061965105,0.9550812949856491,0.006151401121630557,0.3422119945446071,0.04902077238817075,0.17186958213853512,0.01680837700381135
33,0.8753119436673487,0.03271564893288807,0.9559916133896799,0.007389042089133673,0.34214138801583804,0.048802538003056936,0.17064013596080124,0.01775795545967486
34,0.8742133050239284,0.0328869485293572,0.9568847383403325,0.008630917978907596,0.3419939835512682,0.04881707141048771,0.16975977501398667,0.018589642085332016
35,0.8734507816284512,0.03230724367938586,0.9577722448410055,0.008945499965992672,0.3422820504449121,0.04732350659023945,0.16872325132975735,0.019152142284901683
36,0.8723672344371197,0.0308242556514941,0.9577931690614939,0.008274167132474327,0.34327167419181953,0.04741285980815064,0.1670639256561235,0.01945053247967347
37,0.8723672344371197,0.0308242556514941,0.9596145416845296,0.007755955349486466,0.34372434980926403,0.048176032627608355,0.16574807283623838,0.019552174359087095
38,0.8705382942001176,0.029921245414436113,0.9596145416845296,0.007755955349486466,0.3443963885133122,0.048688152939867245,0.16428623175671184,0.021078905238051122
39,0.8708208746053975,0.03007975212984092,0.9614847784430435,0.004937236200503819,0.3447683794173683,0.04842886893581158,0.16263672629028667,0.02051545470396577
40,0.8712367713641387,0.031292704836151715,0.9621011112627661,0.005125137527885904,0.3454486923106237,0.04869332155886497,0.16112435241597753,0.02173905457574457
41,0.8736319544652877,0.030046528382540887,0.9608380558672824,0.005195220907670835,0.344965301295673,0.04866115261292088,0.1588811731687883,0.02084959959145934
42,0.8750489690129696,0.030196367465696778,0.9635448311559213,0.007328098110820197,0.34548774454160663,0.048403795948716466,0.1567565827705125,0.021123212704302712
43,0.8750489690129696,0.030196367465696778,0.9629045474373873,0.007025078380729897,0.3461289935927959,0.04915467886207379,0.15586979098484316,0.021296864894427805
44,0.8750489690129696,0.030196367465696778,0.9632241274179842,0.007064634042660339,0.34633521063958617,0.049093436729018974,0.15558562098549128,0.021298665466120876
45,0.8722711912351917,0.029228244906991708,0.9653735932516238,0.007669699679934787,0.3466079153925053,0.04938307291360897,0.15380758117142396,0.021022963094459644
46,0.8709276351928406,0.028257848148339856,0.9659688797689453,0.007318257691566039,0.34679359188441766,0.050492725035811765,0.15257517404511542,0.02033008730012605
47,0.8698569110451932,0.02671460853844579,0.966569941312105,0.007909467038959646,0.3480166998386014,0.05124984191679606,0.15125497146525085,0.02122080403671589
48,0.8698569110451932,0.02671460853844579,0.9674666361399267,0.0077195784980876895,0.34841324352827174,0.050939963335757565,0.1503049093762633,0.021143572294723512
49,0.8702029614496543,0.02621396242659822,0.9674789983520966,0.007508482444782943,0.34949460171949626,0.05061372297348502,0.1487900912432618,0.020903410436196444
50,0.8702029614496543,0.02621396242659822,0.9672012668100685,0.007531194391425495,0.34906277726239343,0.05077418427643452,0.14837508670421945,0.020799707385039716
51,0.8702029614496543,0.02621396242659822,0.968437742853345,0.010180368742583705,0.3486406274771483,0.05035254216958522,0.14790041495180856,0.02149530265011173
52,0.8726451561354256,0.027230077764410214,0.9678138464091568,0.008163624600055049,0.3487620503360606,0.05011098790219809,0.14691432346539704,0.02178422028619837
53,0.8723806836111823,0.027005861956974353,0.9678588436103691,0.008491271364847756,0.34931507468305806,0.05154504024718335,0.1455691361536639,0.02145410166337589
54,0.8723806836111823,0.027005861956974353,0.9687718496396543,0.010361634316881238,0.34917744506402587,0.051415180798545124,0.14523368064926073,0.02192901468373863
55,0.8723806836111823,0.027005861956974353,0.9690935172883893,0.01020923789679943,0.34947156759180775,0.05079246979448372,0.14406842776021736,0.021280988102539686
56,0.869849038041562,0.027473609071761693,0.970606590298783,0.010732888488364864,0.3501783477671372,0.05070293195478919,0.14317057135367228,0.021895848612074314
57,0.8709455469506968,0.027127365121054237,0.9703012993871691,0.01013305417478591,0.35022876939508185,0.05048273450023426,0.14226660581498518,0.02248120380198012
58,0.8723690014895013,0.027087734671916434,0.9709128278488827,0.011343993045938111,0.3513950502952574,0.051149459378952,0.14089166883126208,0.02307376101118557
59,0.8723690014895013,0.027087734671916434,0.9712335295287025,0.011239945291321525,0.3512860515976842,0.05095801302130634,0.14045664373196226,0.02326171240150759
60,0.87267764346481,0.02713395954231601,0.9715704914225608,0.01128869734562808,0.35145732720450296,0.05118306555571872,0.13893693559069129,0.023064116444223647
61,0.8716021303238571,0.02704887676675763,0.974331449295482,0.01035617684017005,0.35338829742940653,0.05040130325139777,0.1365907104180775,0.022034330486762867
62,0.8718878296442398,0.02643726454635251,0.9746109585574662,0.010608224633058445,0.3535871185433586,0.051508058485039816,0.1345671207703218,0.021313270242761934
63,0.8743663579661337,0.025661048216092542,0.9749488194712713,0.010521345746000619,0.35340413371944096,0.051969974492015125,0.13320502169598347,0.021507189823618225
64,0.8727011137039042,0.02436228774322406,0.9755632412088253,0.01007565902648111,0.35314682430060435,0.05239579143614638,0.1317116477931314,0.019941155793538855
65,0.8709038015079409,0.025976568011514715,0.9758828550008761,0.009651469138044136,0.3515809423926641,0.0540209664875954,0.1301348622137119,0.01907462648878131
66,0.8733955518880879,0.025562108815721074,0.976483890206333,0.00933539239723273,0.3515659383427697,0.05386079238779117,0.12886216038801632,0.01896178015583078
67,0.8736518372415809,0.02028500182124824,0.9777087646652862,0.008558575822816676,0.35064118385439513,0.05354346670131516,0.1266178809258811,0.01775613182269159
68,0.8708876095993044,0.027812649269945998,0.9786466731090886,0.007801047740352162,0.351153693069154,0.054740586172905115,0.12484567519623455,0.01722342390636412
69,0.86839777625006,0.028254349585217275,0.9792772949431789,0.007743302022622248,0.3514665807423309,0.05453327147335023,0.12395429138505018,0.017348531499111745
70,0.8716795965548133,0.028069157098394925,0.9799043385430695,0.007710367296496742,0.3525377174452742,0.054938307937933306,0.1220340305078929,0.016970282424581
71,0.8730986652909554,0.025445726009387718,0.9802086561085289,0.00781467030632252,0.3532178126413068,0.05565751576599324,0.12069731848443892,0.016739666079118927
72,0.8734556922302608,0.025209431145638977,0.9802086561085289,0.00781467030632252,0.35409776690564876,0.05536215015715919,0.11938640105438883,0.0168478871408277
73,0.8719237571620428,0.024329201415318764,0.9801952784377725,0.007818607355415097,0.3538839014338129,0.05530885352782839,0.11798108953402835,0.01754496457795034
74,0.8732483154543891,0.027502249958590137,0.980209633809792,0.007733712706549634,0.3541938729914679,0.055746231297634195,0.1177714506797892,0.01755901454061939
75,0.8725707935648368,0.02606131123438475,0.9814451691496207,0.007471636444532007,0.3551313864226296,0.05609173840396579,0.11657268501025153,0.01734931581755381
76,0.8680398927788634,0.03163291132754774,0.9811542129335642,0.007963114867011371,0.3557359963495129,0.055723062324406734,0.11571888015018358,0.01750428950172992
77,0.8666247984392408,0.031401122880832875,0.9829926841608796,0.006644856868765348,0.35552668978509966,0.05522839425540584,0.11488027392994093,0.017496172580131218
78,0.8666247984392408,0.031401122880832875,0.9829926841608796,0.006644856868765348,0.3556344548968429,0.05539216800865279,0.1147109868040224,0.017526282648925567
79,0.8691189762969713,0.032431587563887136,0.9836147250988583,0.007212101275963719,0.35549748730316477,0.05515651219047248,0.11422886836966865,0.017968647095737252
80,0.8705554569194464,0.029886785718166387,0.9836147250988583,0.007212101275963719,0.35605681785688625,0.05567089388186412,0.11371720851161163,0.018381933547861662
81,0.8680398927788634,0.03163291132754774,0.9839238574774212,0.006243155242711315,0.3566512469303772,0.05588758865067681,0.1130252528226984,0.018770460274419542
82,0.8691189762969713,0.032431587563887136,0.9836223946650124,0.006780996732781746,0.35683420733074944,0.05533229634149259,0.11247270289302627,0.018304137726444385
83,0.8677038819573488,0.03226476132688546,0.9839238574774212,0.006243155242711315,0.3571831118858146,0.05489933815634901,0.11183693935742278,0.018327181808262604
84,0.8677038819573488,0.03226476132688546,0.9845440272713436,0.005564434119892326,0.3579286298642494,0.055170386927196,0.11101624393161588,0.0183907116379408
85,0.8691551437488508,0.03162314506988647,0.9845440272713436,0.005564434119892326,0.35838731888210107,0.05549494068261475,0.110057658725131,0.018191405238623184
86,0.8687981168095454,0.031751446083841166,0.984857916637268,0.005499337462573583,0.3580020371525925,0.05623969878012593,0.10885226138068867,0.017911021218633607
87,0.8655540742915935,0.029827453252436326,0.9863977428347164,0.005693728165932632,0.35925137745234414,0.05804891375788944,0.10698136167425151,0.01769536301900475
88,0.8666247984392408,0.031401122880832875,0.9867030337463305,0.005713965705834349,0.35976300420800805,0.058026468528911336,0.1059371567026399,0.01758022266102055
89,0.8687339541427592,0.029077262578933376,0.9867011448519447,0.005506232132997524,0.36051049743368224,0.058625786890862196,0.10525024702116688,0.017682445866936135
90,0.8665689951429153,0.028009558575462994,0.9867011448519447,0.005506232132997524,0.3615071788326213,0.05927690240999991,0.10434960002021051,0.017972069943329633
91,0.8680202569344173,0.02734339768392292,0.9867011448519447,0.005506232132997524,0.3613434084332142,0.05906911617583545,0.1040200765517341,0.018501942161225585
92,0.8691167658435521,0.02708817688265988,0.9873260954286742,0.006106977957348101,0.3608855678603668,0.0592381349862049,0.10368086361108916,0.01875388812404593
93,0.8694353512740399,0.027519723731103056,0.9873270524534755,0.006297821423473872,0.36143603851297734,0.058951062567420776,0.10277396810970538,0.018229235994999114
94,0.8694353512740399,0.027519723731103056,0.9870150489867704,0.005821702832135521,0.36168589996955164,0.059192770911528,0.10254313542563229,0.018497711986939874
95,0.8694353512740399,0.027519723731103056,0.9873174895004423,0.005275603449045045,0.3616189596787644,0.059569224938583035,0.10189771584708371,0.01799041669940521
96,0.8677680961014295,0.025979836200331882,0.9873251309299513,0.005709739939781305,0.3621153105657264,0.059793885546609256,0.100806742809522,0.017328649446694728
97,0.8677680961014295,0.025979836200331882,0.9879328253574222,0.004814364155736444,0.36170118838362847,0.06002118961007943,0.09999818939396167,0.01706435189685814
98,0.8677431512406784,0.027941105570717988,0.9879328253574222,0.004814364155736444,0.36194469297517967,0.06062450648133058,0.0986518458892447,0.01667363252559213
99,0.8677431512406784,0.027941105570717988,0.9879261261838131,0.004424668290677096,0.36291060628323535,0.0620621506070366,0.0980450824529247,0.016394972377016724
100,0.8677431512406784,0.027941105570717988,0.9888669112663242,0.004277242674393577,0.3632864724280561,0.06220069157014562,0.09759617358344959,0.016236606642582863
101,0.8677431512406784,0.027941105570717988,0.9891789013515473,0.00449674053009674,0.36331928125416607,0.062234914428345944,0.09723461290801189,0.016159118493924134
102,0.8688373860928751,0.02734478855105843,0.9891789013515473,0.00449674053009674,0.36377262673646704,0.0620202986916705,0.09664758167750173,0.01644240146626052
103,0.8674222917532525,0.02712836561072425,0.9897885409188751,0.003879607855777852,0.36381800073042825,0.06196721294734096,0.09602205444715468,0.015934932808658906
104,0.8674222917532525,0.02712836561072425,0.9894898960534902,0.005269028442600825,0.3638677072991867,0.06230246822602173,0.0956148576829816,0.016058284121531825
105,0.8674222917532525,0.02712836561072425,0.9894898960534902,0.005269028442600825,0.3637962462605095,0.062342173374683854,0.09519587051719232,0.01622314426369674
106,0.8674222917532525,0.02712836561072425,0.9891846051418762,0.005445989937996455,0.36432330828728987,0.0627107892876603,0.09502702975768017,0.01651492103983042
107,0.8660948262024263,0.02534967953903311,0.9894898960534902,0.005269028442600825,0.36444457582818873,0.0627141739029117,0.09406977351631111,0.016246116872579902
108,0.8635791029319861,0.02574379556757088,0.9897961336035899,0.005176581924522744,0.3641646631130965,0.06284145759309354,0.09322474523122937,0.016339787928283556
109,0.8624848680797894,0.02610223051950513,0.9897961336035899,0.005176581924522744,0.3646863786804307,0.0632748897311669,0.09249703467732862,0.016574908506850887
110,0.8624848680797894,0.02610223051950513,0.9897961336035899,0.005176581924522744,0.36421671321814036,0.06291170277818357,0.09211239942811364,0.016759060170206282
