iterations,test-F1-mean,test-F1-std,train-F1-mean,train-F1-std,test-Logloss-mean,test-Logloss-std,train-Logloss-mean,train-Logloss-std
0,0.8158845044316436,0.03464033686850321,0.8947673398395549,0.02112264627306309,0.5750469644746597,0.012143919789235359,0.5456017395937554,0.005442256562170176
1,0.840965948886909,0.021146316489828575,0.9294525528920354,0.011478254662487081,0.5099096599940021,0.014077852536336713,0.45510704115703965,0.005993793747237224
2,0.8486776881987994,0.026261626918196446,0.9403391139197403,0.0067729754240617186,0.4639390787691965,0.019513951214881108,0.3877075686337018,0.006133508445838337
3,0.8518829556433364,0.026545629108466376,0.9447875006533397,0.005314676934030968,0.43041371376660953,0.02606638652498721,0.33741581711623986,0.006016520622800597
4,0.8620770494570611,0.019528247121442868,0.9528048015430857,0.004670853286092386,0.4072951220015071,0.026222804986149102,0.2996361609409558,0.005742302236112683
5,0.8694221558165325,0.027326997922242583,0.9585263884874277,0.0050302613516523325,0.3873783813297017,0.027482606805316327,0.2700876295965413,0.0065094940415286314
6,0.8698403524625901,0.020210001488690548,0.9635485839598212,0.0015358149881544167,0.3712202944074973,0.025650914448552713,0.24479845146195983,0.005687638990617344
7,0.8762991487189034,0.027164891879585457,0.9673162247050234,0.003067928764403116,0.358822595888811,0.029462061129219643,0.2235875392937329,0.006155276903351482
8,0.8796590185231749,0.022273581129882668,0.9695397964708043,0.003661009697716043,0.3502944430724796,0.031001647737590423,0.20773420417901117,0.006029603313108263
9,0.8800360421404015,0.028909342107191288,0.9725222379346029,0.003240875624930434,0.34390379876951604,0.03150820857907852,0.19367272715253475,0.00614737575513858
10,0.8832136372135114,0.02389036233891316,0.9747734988279475,0.004505120732846239,0.3360935496400672,0.03318359213797612,0.1811714002159843,0.006707191170870607
11,0.8851450901374431,0.02230210609990808,0.9757343354722373,0.00389161536170448,0.3309109763417853,0.033547398021028976,0.16980551717845158,0.007000877167932902
12,0.889740641954802,0.028103097771875578,0.977218777192534,0.005190960583348017,0.32592603044490087,0.03455795189428728,0.15988418254274223,0.006711673017081086
13,0.8941431478891225,0.027721926657520855,0.9774971622709332,0.004427766456483465,0.3204552161182113,0.03657814018486388,0.15243736491376422,0.0074488358174821835
14,0.8939516101444542,0.026868392243906476,0.9787449120466757,0.004209084577898692,0.3161268481659545,0.037602331603966796,0.14474844782283017,0.006670560439432352
15,0.894985000577665,0.02362693735918948,0.9799909612079423,0.0045608918956964095,0.31261093047358857,0.0395290989537693,0.13696195044563614,0.0063413941340326385
16,0.8949428990447151,0.018924569187817923,0.9804948993271643,0.004140043706512382,0.30922508138116744,0.038682876379998635,0.13031913837420625,0.00760545184678039
17,0.8950169093580737,0.02044328425233401,0.9819692080154387,0.0044127071337565,0.307495280886259,0.0405688101254788,0.12555673439894785,0.008996333744977414
18,0.8976104688797271,0.019191757413816683,0.9829660868992484,0.004934103219674031,0.3045481738817156,0.0401441212670882,0.1208786228203184,0.010984762994804649
19,0.8976104688797271,0.019191757413816683,0.9837226865367039,0.004960224264869966,0.3027810220952956,0.04162015858561022,0.11754425547079031,0.012947706374305605
20,0.8957550825986971,0.017363295323618,0.9844509072658605,0.004866847406698202,0.3009333120959369,0.04266372096142284,0.11337716170904137,0.01342966690083353
21,0.8949428990447151,0.018924569187817923,0.98569432243708,0.005257677016615132,0.29912750982098346,0.04272300039020089,0.1094957077040238,0.014876879675014028
22,0.8967312724747576,0.01910960725887204,0.98594845894445,0.006140861397287896,0.2980711944575484,0.04287434427423134,0.10645036257818549,0.015880022339061144
23,0.8987584203037121,0.02088952531643688,0.9864509667784909,0.006390874204199687,0.2975650112169801,0.04351052659876133,0.10304068074899178,0.014655563778203264
24,0.8950215278742233,0.021970134214427447,0.9894692235584758,0.007349404285475411,0.2965135690768457,0.04384381968776561,0.09835540233248591,0.013627518863369156
25,0.8938953720794371,0.023073500362975674,0.9899654688059986,0.007320437128794665,0.29548242901986665,0.044768310798846495,0.09564597783167508,0.014560608923029432
26,0.8960824022529594,0.023808009582414337,0.9912289608063013,0.006253816953141656,0.2942439607387183,0.04495123435621281,0.09252331421133073,0.014287198110955898
27,0.8988805569760162,0.021414502967853292,0.9912289418376744,0.006062103382976645,0.291943731807232,0.04290637941727909,0.08962579077595932,0.014859265521270433
28,0.8969666813779302,0.023778176331862567,0.9922338915670037,0.005021361876194791,0.2911200217385808,0.04452737952936128,0.08641068896002749,0.014462069544796553
29,0.8999983337283108,0.021201787678244006,0.9924886133722298,0.005371777866180932,0.28974042942500544,0.04404120218995166,0.08423722953468174,0.015220795761912785
30,0.9030468758294845,0.020630538830630464,0.9929892368107041,0.005833490717322876,0.2884054765462417,0.04535460784785064,0.08236913305350982,0.01582265204976525
31,0.9030187521414824,0.019287666619122224,0.9932339142058428,0.00628644169198263,0.28865988000986126,0.04543834050832869,0.08059946887655901,0.01564984088882314
32,0.9036028803989969,0.020116870811356262,0.9947427571750055,0.005400469054172821,0.288374416954143,0.04424711522654056,0.0774717000294021,0.014397803930958603
33,0.9029878114924706,0.02041040896013046,0.9957390205093051,0.004207061208478902,0.287448324571122,0.04509072315964002,0.0750881384819532,0.013356836735365495
34,0.9029878114924706,0.02041040896013046,0.9962452815154759,0.0035339095062473435,0.2869981491827751,0.04621049262708538,0.0728590407918609,0.01219386473599106
35,0.9007634919250906,0.020803558798497677,0.996493096746437,0.0031156987938005766,0.2872584840326973,0.04714169414342355,0.07068507117398994,0.011538845576944384
36,0.9007604650823546,0.019851708059563277,0.996493096746437,0.0031156987938005766,0.28753934899105715,0.047484827486125335,0.06915335115848609,0.012382564401547481
37,0.8963052437469832,0.024293462045987074,0.9959930967464372,0.003993613640143085,0.288199178459407,0.04745446779230524,0.06753013331612366,0.011921514236005454
38,0.8957641735563173,0.022684236677963147,0.9959930967464372,0.003993613640143085,0.2877009125780809,0.04730574210637702,0.0661821807498161,0.012118898088692914
39,0.8957641735563173,0.022684236677963147,0.9964905865273028,0.003359363100682249,0.28752575902764843,0.04750510768545728,0.06514411087791509,0.011979310146031473
40,0.8957641735563173,0.022684236677963147,0.9964905865273028,0.003359363100682249,0.2866765282318841,0.04843740844009896,0.06320544510594357,0.011493713280039506
41,0.8977112779380665,0.0226268535855736,0.9969930849095962,0.002738489287088012,0.2861908732747886,0.04822956198084661,0.061141741049924134,0.01060207743860333
42,0.896533189256853,0.022193707194105114,0.9974962295636842,0.0027929790086375942,0.28571119472436024,0.04799453076493734,0.059699543412044365,0.009384744553251622
43,0.8954127410775813,0.02436148954486383,0.9977446651081147,0.002237460683897776,0.2859662150193431,0.049594626966041465,0.05857314631604209,0.008837238290109925
44,0.8954127410775813,0.02436148954486383,0.9979962295636842,0.0016749462045346803,0.28628257081917907,0.04877453883497179,0.05720339318163992,0.009064184302155312
45,0.8954127410775813,0.02436148954486383,0.9979962295636842,0.0016749462045346803,0.28624937548242063,0.048907194908743935,0.0553369039140361,0.00846813321525036
46,0.8931520167144582,0.02677693076536738,0.998246542454798,0.0018945829725188971,0.28549024455355027,0.04840058642408153,0.05403773581840184,0.009097471326621993
47,0.8970264376601265,0.027553146848770815,0.998246542454798,0.0018945829725188971,0.2844267906179071,0.04817649272465151,0.05285930895351252,0.00954828514728773
48,0.8970264376601265,0.027553146848770815,0.9984968553459119,0.0020534856056927883,0.2842934656452549,0.04807493105226562,0.051822062675930425,0.010011937620993125
