iter	F1	Logloss
0	0.8652657602	0.5421611896
1	0.9125	0.4521039454
2	0.9364881694	0.3891006631
3	0.9371859296	0.3417943324
4	0.9473684211	0.2999939599
5	0.961298377	0.2674951405
6	0.9625935162	0.2410788378
7	0.9686323714	0.2224726299
8	0.9725685786	0.2035796723
9	0.9725	0.1900433229
10	0.9725	0.1785640031
11	0.9737171464	0.1674922007
12	0.9737171464	0.1575514501
13	0.975	0.1476162925
14	0.9737827715	0.1412681678
15	0.9762202753	0.1337127907
16	0.9787234043	0.1282296677
17	0.9787234043	0.1248875275
18	0.9799498747	0.1184060165
19	0.9812265332	0.1181976948
20	0.9812265332	0.117917385
21	0.984962406	0.1121793227
22	0.9837296621	0.111531179
23	0.9837296621	0.1112583277
24	0.9874371859	0.105600669
25	0.9874371859	0.1038406479
26	0.9874371859	0.1025065624
27	0.9886792453	0.0965774759
28	0.9899244332	0.09323177786
29	0.9886792453	0.08993961108
30	0.9886792453	0.08687866954
31	0.9899244332	0.08478932817
32	0.9924623116	0.08080199158
33	0.9949748744	0.07969661157
34	0.9937264743	0.07810385778
35	0.9937264743	0.07538912135
36	0.9937264743	0.07422477292
37	0.9937264743	0.07415291591
38	0.9937264743	0.07109168029
39	0.9949748744	0.07039369037
40	0.9949748744	0.06776507234
41	0.9962264151	0.06568071174
42	0.9987421384	0.06310772373
43	0.9987421384	0.06262282738
44	0.9987421384	0.05981035561
45	0.9987421384	0.05773856824
46	0.9987421384	0.05641925929
47	0.9987421384	0.05440524509
48	0.9987421384	0.05290844643
49	0.9987421384	0.05143391717
50	0.9987421384	0.04979598972
51	0.9987421384	0.04852893384
52	0.9987421384	0.04687059783
53	0.9987421384	0.04571404446
54	0.9987421384	0.04441232832
55	0.9987421384	0.04306783451
56	0.9987421384	0.04186496552
57	0.9987421384	0.04102840964
58	0.9987421384	0.03978826719
59	0.9987421384	0.03875864226
60	1	0.03775604402
61	1	0.03699863385
62	1	0.03602930412
63	1	0.03516390377
64	1	0.03429616051
65	1	0.03360517091
66	1	0.0327004528
67	1	0.03185513207
68	1	0.03177439964
69	1	0.03124668914
70	1	0.03054755572
71	1	0.029864639
72	1	0.02929627644
73	1	0.02869835218
74	1	0.02826006026
75	1	0.02770201691
76	1	0.02726705399
77	1	0.02692942547
78	1	0.02658534296
79	1	0.02634555504
80	1	0.02583843672
81	1	0.02552038066
82	1	0.02519626652
83	1	0.0247382653
84	1	0.02440212568
85	1	0.02395745384
86	1	0.02358904224
87	1	0.02321583879
88	1	0.02280874863
89	1	0.02209616282
90	1	0.02184625216
91	1	0.02143777419
92	1	0.02123325016
93	1	0.02096403953
94	1	0.02064042882
95	1	0.02031574129
96	1	0.01997087614
97	1	0.01978815152
98	1	0.01954299446
99	1	0.01954277931
100	1	0.01939902827
101	1	0.01923205206
102	1	0.01906577419
103	1	0.01905477067
104	1	0.01878175884
105	1	0.01853071428
106	1	0.01849681062
107	1	0.01831583573
108	1	0.01831165476
109	1	0.01828937878
110	1	0.01801870796
111	1	0.01798899633
112	1	0.01789626277
113	1	0.01770191159
114	1	0.01767785096
115	1	0.01751856522
116	1	0.01751046638
117	1	0.01723560915
118	1	0.01721677458
119	1	0.01696927998
120	1	0.01693115
121	1	0.01659351471
122	1	0.01657072618
123	1	0.01631458928
124	1	0.01605390176
125	1	0.01582582908
126	1	0.01562005483
127	1	0.01540403128
128	1	0.01522012621
129	1	0.01502825132
130	1	0.01485979379
131	1	0.01464861377
132	1	0.01450031054
133	1	0.0143179717
134	1	0.01410665365
135	1	0.01393718486
136	1	0.01383266361
137	1	0.01371494553
138	1	0.01357737089
139	1	0.01342871279
140	1	0.01327286075
141	1	0.01312993095
142	1	0.01299099597
143	1	0.01286194453
144	1	0.01274074411
145	1	0.01257481996
146	1	0.01242500399
147	1	0.0123390649
148	1	0.01219418749
149	1	0.0120790791
150	1	0.01191636233
151	1	0.01181534504
152	1	0.01171554931
153	1	0.01160948276
154	1	0.01148642866
155	1	0.0113556114
156	1	0.01126500781
157	1	0.01115805024
158	1	0.01106750252
159	1	0.01096457463
160	1	0.01085678777
161	1	0.01079231464
162	1	0.01071197459
163	1	0.01061931058
164	1	0.01051824788
165	1	0.01042876951
166	1	0.01036193884
167	1	0.01025159321
168	1	0.01018866623
169	1	0.0101142859
170	1	0.01010443109
171	1	0.01002626472
172	1	0.01000461123
173	1	0.01000457689
174	1	0.00999150992
175	1	0.009976800001
176	1	0.009889335728
177	1	0.009804068568
178	1	0.009742332004
179	1	0.009673093379
180	1	0.009597990781
181	1	0.009543255254
182	1	0.009440784812
183	1	0.009333242964
184	1	0.009273872616
185	1	0.009233777999
186	1	0.009202582347
187	1	0.009177127301
188	1	0.00916711007
189	1	0.009157547113
190	1	0.009148429091
191	1	0.009085350265
192	1	0.009085346371
193	1	0.009076547214
194	1	0.009067764385
195	1	0.008988939249
196	1	0.008976763266
197	1	0.008969483011
198	1	0.0089694533
199	1	0.00891674877
200	1	0.008875918005
201	1	0.008868995967
202	1	0.008820811144
203	1	0.008764872549
204	1	0.008704970525
205	1	0.00862094802
206	1	0.008545987671
207	1	0.008493192071
208	1	0.008424436682
209	1	0.008350537472
210	1	0.00829396078
211	1	0.008293946353
212	1	0.00825386294
213	1	0.008224397304
214	1	0.008165361123
215	1	0.008145517175
216	1	0.008099962244
217	1	0.008040081882
218	1	0.008005967897
219	1	0.007953799019
220	1	0.00790773802
221	1	0.007903155255
222	1	0.007844631482
223	1	0.007804916714
224	1	0.007746691183
