iter	F1	Logloss
0	0.9007633588	0.5431481973
1	0.9297163995	0.4591807382
2	0.9339975093	0.3913057266
3	0.9416149068	0.3393279342
4	0.9489414695	0.3033546352
5	0.9502487562	0.2747662168
6	0.9625935162	0.2524700211
7	0.9651741294	0.2310464172
8	0.9662921348	0.2156052055
9	0.9712858926	0.2022009554
10	0.9713574097	0.1916189207
11	0.975	0.1801452892
12	0.9762202753	0.1692785468
13	0.9787765293	0.1580777129
14	0.98	0.1479238976
15	0.9812265332	0.1387905076
16	0.9812265332	0.1302383286
17	0.9824561404	0.1241426809
18	0.9812265332	0.1185474006
19	0.9825	0.1136358851
20	0.9837296621	0.1085643619
21	0.9837296621	0.1039380813
22	0.984962406	0.1001558702
23	0.986232791	0.09701265893
24	0.9887640449	0.09376119804
25	0.9912390488	0.09048300519
26	0.992481203	0.08671356628
27	0.9912390488	0.08417863651
28	0.992481203	0.08097275058
29	0.995	0.07849231754
30	0.9962546816	0.07519236709
31	0.9975	0.07220032776
32	0.9987484355	0.06965494518
33	0.9987484355	0.06786287699
34	0.9987484355	0.06654260887
35	0.9987484355	0.06449006182
36	0.9987484355	0.06232050468
37	0.9987484355	0.0608571274
38	0.9987484355	0.05987943624
39	0.9987484355	0.05834244257
40	0.9987484355	0.05636484992
41	0.9987484355	0.05499338393
42	0.9987484355	0.0546885274
43	0.9987484355	0.05326010693
44	0.9987484355	0.05283349952
45	0.9987484355	0.05105186582
46	0.9987484355	0.04950585171
47	0.9987484355	0.04828822807
48	1	0.04778595881
49	1	0.04633552337
50	1	0.04542843443
51	1	0.0444172714
52	1	0.04373967654
53	1	0.04296378705
54	1	0.04239223262
55	1	0.04119786045
56	1	0.04106734548
57	1	0.04049389854
58	1	0.03951755767
59	1	0.03846163303
60	1	0.03757285699
61	1	0.03690234951
62	1	0.03653242137
63	1	0.03555857965
64	1	0.03462343339
65	1	0.03361403302
66	1	0.03267879551
67	1	0.03186672093
68	1	0.03131603664
69	1	0.03066273931
70	1	0.0301158643
71	1	0.02952870323
72	1	0.02888644051
73	1	0.02837710833
74	1	0.02800882385
75	1	0.02748103853
76	1	0.02683268252
77	1	0.02632296217
78	1	0.02600322519
79	1	0.02556853391
80	1	0.02505983648
81	1	0.02455020875
82	1	0.0240952936
83	1	0.02361739195
84	1	0.02322998336
85	1	0.02285629419
86	1	0.02241610518
87	1	0.02196938122
88	1	0.02170926951
89	1	0.02146561118
90	1	0.02138220937
91	1	0.0210655197
92	1	0.02080296392
93	1	0.02049553811
94	1	0.02016517436
95	1	0.01992862914
96	1	0.01961131058
97	1	0.0193913111
98	1	0.019126213
99	1	0.01892582601
100	1	0.0186704842
101	1	0.01841730709
102	1	0.01818241794
103	1	0.01796225368
104	1	0.01770587361
105	1	0.01746242985
106	1	0.0172715983
107	1	0.01711453662
108	1	0.0169698076
109	1	0.01674658012
110	1	0.0165548043
111	1	0.01632487084
112	1	0.01621313944
113	1	0.01601650436
114	1	0.01586031457
115	1	0.01562708034
116	1	0.01547209164
117	1	0.01525222489
118	1	0.01508618842
119	1	0.01493061077
120	1	0.0147192041
121	1	0.01456749378
122	1	0.01442324715
123	1	0.0143103063
124	1	0.01414966157
125	1	0.01399489936
126	1	0.0138433971
127	1	0.01368471266
128	1	0.01353144742
129	1	0.01345084381
130	1	0.01335394057
131	1	0.01323510893
132	1	0.01309957926
133	1	0.01295693643
134	1	0.01280872841
135	1	0.01268996331
136	1	0.01258581988
137	1	0.01244485011
138	1	0.01232841003
139	1	0.01223339187
140	1	0.01210734287
141	1	0.01202018371
142	1	0.01191933238
143	1	0.01178713622
144	1	0.01176662899
145	1	0.01168724624
146	1	0.01159617029
147	1	0.01145096453
148	1	0.01135315896
149	1	0.01125369031
150	1	0.01118624255
151	1	0.01108378991
152	1	0.01101392856
153	1	0.01092401019
154	1	0.0108578575
155	1	0.01078717201
156	1	0.01069814648
157	1	0.0106357133
158	1	0.01059174793
159	1	0.01051415777
160	1	0.01042884775
161	1	0.01040954383
162	1	0.01035341778
163	1	0.0103265297
164	1	0.01030737874
165	1	0.0101812446
166	1	0.01010588126
167	1	0.01004333145
168	1	0.009964762797
169	1	0.009911359064
170	1	0.009815130843
171	1	0.009769629508
172	1	0.009692468472
173	1	0.009641503806
174	1	0.009571418873
175	1	0.00950270864
176	1	0.009446049334
177	1	0.009385879532
178	1	0.009319069239
179	1	0.009227620823
180	1	0.009211170282
181	1	0.009129308415
182	1	0.009058259185
183	1	0.008988803607
184	1	0.008939760588
185	1	0.008908943355
186	1	0.00885721866
187	1	0.008802399633
188	1	0.008748540249
189	1	0.008681832876
190	1	0.008643317041
191	1	0.00857082471
192	1	0.00851313074
193	1	0.008473584424
194	1	0.008436254719
195	1	0.0083645784
196	1	0.008283078629
197	1	0.008232045684
198	1	0.008174926234
199	1	0.008138409035
200	1	0.008093530121
201	1	0.00803725224
202	1	0.007982009255
203	1	0.007935380922
204	1	0.00788734556
205	1	0.007836268988
206	1	0.007778284545
207	1	0.007724351919
208	1	0.007677329966
209	1	0.007634422761
210	1	0.007602831657
211	1	0.007565212207
212	1	0.007526244898
213	1	0.007494868529
214	1	0.007444469911
215	1	0.007431676573
216	1	0.007416014426
217	1	0.007405716994
218	1	0.00735930383
219	1	0.007315031611
220	1	0.007276714118
221	1	0.007228558529
222	1	0.007193863046
223	1	0.007170780308
224	1	0.007165459585
